Exterior_team,score_exterior,scorer_names_ext,Domicile_team,score_dom,scorer_names_dom,lieu_match,date,journee,region,clean_date,temp_max,temp_min,precipitations
Brest,1,['R. Faivre'],Nantes,3,"['R. Kolo', 'L. Blas', 'A. Bamba']",Nantes,2020/10/18,7,pays-de-la-loire,2020-10-18 15:00:00+02:00,16°,7°,0mm
Metz,1,['O. Nguette'],Angers,1,['T. Mangani'],Angers,2020/10/18,7,pays-de-la-loire,2020-10-18 15:00:00+02:00,15°,9°,0mm
Nice,3,"['P. Lees-Melou', 'A. Gouiri', '+1 M.']",Saint-Étienne,1,['A. Aouchiche'],Saint-Étienne,2020/10/18,7,rh-ne-alpes,2020-10-18 17:00:00+02:00,12°,1°,0mm
Lens,0,[],Lille,4,"['B. Yilmaz', 'J. Bamba', 'J. Ikoné', 'Y. Yazici']",Lille,2020/10/18,7,nord-pas-de-calais,2020-10-18 21:00:00+02:00,13°,10°,2mm
Angers,2,"['S. Boufal', 'A. Fulgini']",Rennes,1,['A. Hunou'],Rennes,2020/10/23,8,bretagne,2020-10-23 21:00:00+02:00,17°,9°,2mm
Marseille,1,['L. Balerdi'],Lorient,0,[],Lorient,2020/10/24,8,bretagne,2020-10-24 17:00:00+02:00,16°,15°,18mm
Dijon,0,[],Paris-SG,4,"['M. Kean', 'M. Kean', 'K. Mbappé', 'K. Mbappé']",Paris,2020/10/24,8,ile-de-france,2020-10-24 21:00:00+02:00,16°,13°,1mm
Reims,4,"['B. Dia', 'B. Dia', 'N. Mbuku', 'B. Dia']",Montpellier,0,[],Montpellier,2020/10/25,8,languedoc-roussillon,2020-10-25 15:00:00+01:00,18°,13°,0mm
Saint-Étienne,0,[],Metz,2,"['F. Boulaya', 'N. Sissoko']",Metz,2020/10/25,8,lorraine,2020-10-25 15:00:00+01:00,12°,11°,11mm
Nîmes,0,[],Bordeaux,2,"['J. Briand', 'R. Oudin']",Bordeaux,2020/10/25,8,aquitaine,2020-10-25 15:00:00+01:00,16°,13°,7mm
Strasbourg,3,"['H. Diallo', 'K. Lala', 'L. Ajorque']",Brest,0,[],Brest,2020/10/25,8,bretagne,2020-10-25 15:00:00+01:00,12°,10°,4mm
Lille,1,['B. Yilmaz'],Nice,1,['K. Dolberg'],Nice,2020/10/25,8,provence-alpes-c-te-d-azur,2020-10-25 17:00:00+01:00,18°,15°,2mm
Monaco,1,['W. Ben'],Lyon,4,"['M. Depay', 'K. Toko', 'H. Aouar', 'K. Toko']",Lyon,2020/10/25,8,rh-ne-alpes,2020-10-25 21:00:00+01:00,18°,11°,0mm
